country,country_label
Argentina,0
Australia,1
Austria,2
Brazil,3
Bulgaria,4
Canada,5
Chile,6
China,7
Croatia,8
Cyprus,9
Czech Republic,10
England,11
France,12
Georgia,13
Germany,14
Greece,15
Hungary,16
India,17
Israel,18
Italy,19
Lebanon,20
Lithuania,21
Luxembourg,22
Macedonia,23
Mexico,24
Moldova,25
Morocco,26
New Zealand,27
Portugal,28
Romania,29
Serbia,30
Slovakia,31
Slovenia,32
South Africa,33
Spain,34
Switzerland,35
Turkey,36
US,37
US-France,38
Ukraine,39
Uruguay,40
