designation,designation_label
Piesporter Goldtröpfchen Kabinett GL,18373
Ballad,1818
Seven Hills Vineyard Reserve Red,22056
Kavel's Flock,12331
Private Reserve,19029
Nautique Esprit de Blanc,16698
Amado Sur Torrontés-Viognier-Chardonnay,912
Bishop's Blend,2477
Élevée Vineyard,27529
Malterdinger,15203
First Harvest,9269
Epiphany Estate Cuvee,8319
Argent,1315
O Brazileiro,17107
Morning Dew Vineyard,16367
Vinotekfüllung Smaragd,26269
Vibrante Red Blend,25797
Nachise,16622
Cave de Saint-Roch les Vignes,4267
Yvecourt,27274
Alabaster,558
1 er Cru Les Champs Gains,22
Ferrero Ranch,9071
Marsh Estate Vineyard,15412
Kollmitz Federspiel,12509
Balmet,1829
Château Labouré-Roi Premier Cru Clos des Bouches Chères,4733
Cougar Hill,5905
Mernet 30th Anniversary Reserve,15778
Mariage,15326
La Tremenda,13212
Rapley Trail Vineyard Estate,19609
Maipu Vineyards,15159
Rooster Red Wine,20676
Poggio ai Ginepri,18615
Bärnreiser,3455
Toasted Head Giguiere Ranch,24739
Aria Pinot Noir Brut,1333
Opere Trevigiane Brut,17458
Gioia,10023
La Petite,13084
Terre di Sofia,23888
Wilderness Red Blend,26944
Domaine de Thalabert,7369
Valle del Noce,25566
Dolmo,7257
Sweet Claire Late Harvest,23303
Aviator Red,1635
Domaine de la Fruitière Gneiss de Bel Abord Sur Lie,7385
Cortaccio,5782
La Justice,13011
Santa Barbara Historic Vineyards Collection Bien Nacido Vineyard,21426
Passing By,17919
Owens Reserve,17639
Vignes du Domaine,25975
Inferno Riserva,11772
Lot 356,14814
Ockfen Bockstein,17213
Brut de Blancs,3340
Blanc des Millénaires,2606
Fontana del Fongo,9435
The Palindrome,24339
The Orchards,24328
Revilo Vineyard,20154
Knight's Gambit,12490
Philosophers' Stone,18264
Mil Vientos,15875
Carrément Blanc,3990
Rio Vista Vineyard Dijon,20311
Rancho Santa Rosa Block 4A Clone 2A,19574
Vendimia Tardia Late Harvest,25690
Dark Night,6866
Gusto,10722
Notios White,17018
Estate Limited,8626
Estate Reserve 4,8659
Würzburger Stein Kabinett Trocken,27159
Les Puechs,14276
Hecklinger Schlossberg R Trocken,10970
Ruberpan,20952
Gattera,9870
Medium-Dry Spätlese,15665
Les Perrières,14242
Firebrick Vineyard,9250
La Verchère,13221
Tenuta Belguardo,23676
Monte Danieli,16178
Grapeful Red,10525
Single Vineyard Crianza,22305
Dolbà,7242
Les Pagodes de Cos,14234
Terrisses,23905
Black Label Club Nina Blanco,2515
Biblos,2327
Inspired Red,11821
Pithos,18509
Noble House QbA,16929
Quinta do Mourão Rio Bom Colheita,19394
Jay Wilderotter Vineyard,12016
Rosé Aurore,20806
Bin 128,2415
Celliere,4325
Dean Block,6912
Rotlack Kabinett,20877
Destiny Ridge Vineyard Block 20,7034
Resonance Vineyard Reserve,20143
Pianer Extra Dry,18296
Fay Estate,9028
Domaine Les Hautes Roches,7319
Schützner Stein,21691
Snake Eyes,22455
Yarden 2T Touriga Nacional-Tinta Cão,27207
Alfa Crux Red Wine,680
Semper V Meritage,21905
Les Trois Roches,14334
Prima Reserva,18943
Z,27277
Sharen's Vineyard,22119
Rose 'Di Arie,20736
Dry Estate Bottled and Grown,7656
East Soda Rock Vineyard,7883
Il Pigno,11631
Legado del Conde Albariño,13860
Chase Vineyard,4545
Vigneto du Lot,26040
Hommage,11327
North Temperance,16999
Piesporter Goldtröpfchen Spätlese Grosse Lage,18378
Ellie's Old Vine Vineyard,8149
Grand Vin Bourgeois,10444
Toccata Riserva,24746
Toucas,24869
Jam's Blend,11980
Selections Pfeiffer Wines,21861
Ocean Reserve,17207
Cuvee Rare,6180
Hochheimer Stein Kabinett Halbtrocken,11275
Steingraben Reserve,22990
Norma Jean,16984
Gran Colegiata Campus,10241
Merriman Vineyard Clandeboye,15785
"Altitude: 2401, Le Seducteur",852
Merlot Over and Play Dead,15764
Sassolino,21514
Tovè,24890
Mossfire Ranch,16418
Fire Red Wine,9247
Bacco in Toscana,1736
Premier Etage,18838
Ancienne Cuvée Carnot Caillerets Premier Cru,1040
De Tradisie,6896
47.5 Degree Limited Release Syrah,241
Chateau Smith,4555
Bellamarsilia,2149
Mistura Blanco,16017
Gimblett Gravels,10008
Bricco San Biagio,3114
Vintage Selection Malbec-Cabernet Franc-Petit Verdot,26295
Estate Bradford,8540
Cuvée Cuis Premier Cru Blanc de Blancs Brut,6300
Ranchita Red,19558
Klipsun Vineyard Late Harvest,12481
Le Morete,13694
El Jefe En Chamberlin,8043
Old Barn,17263
Les Grandes Vignes,14150
Maula,15540
L'Amarybelle,12632
Tribute Series Old Main Road,25042
Flvminis,9396
Mountain Estate Vineyard,16445
Adoli Ghis,468
Vinhas Altas,26230
Kollmitz Smaragd,12510
Rangen Grand Cru Clos Saint Théobald Vendanges Tardives,19588
Amaranto,931
Domus Giulii,7454
Hulen Vineyard,11405
Purisima Mountain Vineyard Block 6,19166
Vif Red Wine,25843
Lake Doctor Single Site,13308
Villa Cafaggio,26068
Hermanas Cuvée,11107
Château de Flore,4790
Black Hole Vineyard,2510
Mario's Vineyard,15350
Conner Lee Vineyard Gun Metal Red,5602
Talcott Vineyard,23492
Il Cortile,11579
Hengst Grand Cru Cuvée Francois,11028
Roskamp Vineyard,20768
William Selection Crianza,26961
Capriccio,3887
W.P. Foley II,26606
Cuvée Luke Saralee's Vineyard,6418
Director's Choice Tawny,7183
Granera Alta,10516
Etna Bianco,8749
Riserva di Fizzano Gran Selezione Single Vineyard,20396
Ried Jungenberg Jois,20233
Myesis Initiation,16566
Viña Pomal Crianza,26485
Pentima,18065
La Luciana,13020
Stone Tree,23077
Lights Out,14456
V.G.S.,25470
Kayoumi Single Vineyard Kosher,12336
Half Mile,10801
Piana dei Cembali,18290
Stuhlmuller Vineyard Reserve,23146
M5,15032
The Spinner,24437
La Pietra,13096
Carato,3904
Paxis,17992
Hera,11042
Biscondola,2471
Falcon's Perch,8928
La Matta,13039
Le Mistral,13687
Evolution Big Time,8787
Ameritage Estate Club,970
1772 Barrel Select,86
Flirtation,9356
Black Bubbles Syrah,2496
Villa Rizzardi,26104
Louise,14866
La Pierrelée,13095
R-Bar-R Ranch,19457
Selecti,21850
Mirth,15983
Button and Turkovich Vineyard,3443
The Geologist Premium Red Wine,24184
Old Soul Red Wine,17307
The Angel Oak,23991
Sugar Mountain Vineyard,23172
RSW,19485
The Galvo Garage Cabernet Sauvignon-Merlot-Cabernet Franc-Petit Verdot,24179
Laguna Vista Vineyards Sur Lees Selection,13294
Cuvée Alexandre Apalta Vineyard,6230
Rennina,19888
Vogelzang Vineyard Vinocity,26524
Grey,10609
Signature Marinus,22213
Caligo Sweet White Wine,3655
LEHM Dry,12758
Nostalgia,17009
Extra Brut Burgundersekt,8834
John C. Sullenger Vineyard,12087
Il Borro,11560
3 Cepas,167
Ramnista,19546
Le Nombre d'Or Brut,13703
Le Petit Coquerel,13728
Prince Hill 115,18982
Señorio de los Llanos Crianza,22091
I Piaggioni,11477
Rossodiverzella,20797
Maddelena,15077
Lavaux Saint-Jacques Premier Cru,13477
Rinsol,20295
Reserve Quintet,20075
Two Barns Vineyard,25250
Barrister Block,1959
Reserve Zephyr Ridge Vineyard,20132
Cain Five,3598
Damis,6832
Jovly,12153
Cellar Select Blend,4318
Odyssea,17234
Amplus,1017
Clos de Sixte,5166
San Giovanni Novantasette Riserva,21319
Frei Brothers Vineyards,9637
Family Selection Gran Reserva,8970
Langley Vineyard,13361
Domaines du Château de Riquewihr Les Maquisards,7433
76 West,292
Anima,1116
Rosé de Bonnet,20834
Stoan,23047
Double L Vineyard Hat Trick,7584
Les Vieux Murs,14360
Acciaiolo,416
Pomorosso,18678
Gönnheimer Mandelgarten Eiswein,10737
Ried Schütt Dürnsteiner Smaragd,20251
Asili,1470
Feliz Vineyard,9047
Josephine + Mariposa,12127
Pioneer Block 24 Arthur,18486
"Smith Road Vineyards, Rows 2–5",22447
ODE,17130
Lanius,13362
Stolen Block,23049
Gueta-Lupia,10705
Conde de Haro Brut,5555
Windrow Vineyards,26997
Corton-Rognet,5809
Chateau Chateau Island Ebenezer,4548
Blanc de Noirs,2594
Wild Eyed,26916
Makedonikos Rosé Semi-Dry Wine,15172
Blanc de Blanc Brut,2574
Lone Oak Vineyard Estate,14651
Noble House,16928
Hossfeld Coliseum,11371
Tuffeau,25185
Syrah 20,23366
Cecil,4276
Roséfine,20866
Ried Oberer Wald,20246
Run Dog Vineyard,20997
Paso Hondo Alto Selección,17907
Blow Sands,2772
Riserva Lucius,20365
Domaine Long-Depaquit Les Clos Grand Cru,7325
Uma Colección,25330
Serras de Azeitão,22001
Belcanto Extra Dry,2119
The Cenosillicaphobic Cat Sagrantino-Cinsault,24057
Vigneti La Selvanella Riserva,25976
Highlands Estate Alisos Hills,11187
Northridge Vineyard,17005
Scion,21696
Beato Riserva,2034
Madoro,15102
La Romanée Premier Cru,13147
Porter Bass Vineyard,18731
Cepages,4366
Murzelo Reserva,16533
Equity,8332
Clarión,4967
Barrack Ten Goal,1912
Some Poets,22574
Zaca Mesa Vineyard,27298
St. Jakobi Single Vineyard,22879
Il Volpe,11681
Vigneto Le Novaje,26013
Naiades,16631
Alate Kosher,570
Hopland Ranches,11359
Mirabelle Clone 115,15960
Passobianco,17939
Klaus Federspiel,12468
Apex 39,1212
Smaragd Kollmitz,22437
Ahler Vineyard,532
Oriana White Blend,17522
Prestige Extra Dry,18911
Map Maker,15261
Petri Riserva,18209
McCrae Wood,15603
Pelago,18036
Bella Bella,2130
Lote 43,14856
Monga Zin Lopez Vineyard Old Vine,16106
Goutte d'Or Premier Cru,10179
Bien Nacido Vineyard Santa Barbara Historic Vineyards Collection,2355
Burgenlandrot,3409
Estate Grown Cave Fermented Finch Hollow Unfiltered,8586
Rio Azul,20297
Gran Reserva Tempranillo-Graciano,10303
Virga Red,26366
Beyond,2301
The Glenrose Vineyard Invecchiato,24189
Becco Giallo,2064
Kallisti,12256
Castle Hill Trarbacher Schlossberg Kabinett,4204
Klickitat,12472
Namura Single Vineyard Special Reserve,16639
Estate Bottled Rutherford Red,8527
Terre dei Vestini San Zopito,23866
Rondineto,20664
Special Reserve Kosher,22760
Mongovone,16108
The Red Mullet,24384
Eveline,8774
Tornante,24822
Terroir Champoux Vineyard,23910
LBV,12753
Reserva Privada,19942
Ibéricos Crianza,11523
Xpression,27191
Barrel Select Reserve Cabernet Sauvignon-Merlot-Petit Verdot,1939
Il Priore,11639
Señor da Folla Verde,22084
Three Monks,24603
Lot 393,14820
Philip,18259
Goldman Vineyard Dry,10144
La Champréaux,12835
The Ditch Digger,24121
Gaubança,9873
The Soloist,24429
Le Sec de Juchepie Le Clos,13793
Cuvée Paradis Brut,6469
Edición Rosa,7922
Henneberg Vineyard,11030
Stagecoach Vineyard Block I-4,22895
Sassolini,21513
Alfaro Family Vineyards,686
HJW Vineyard Dry,10754
Château des Vaults La Jalousie,4836
Limited Selection Four,14514
Old Vines Unfiltered,17356
Usignolo,25454
Hope,11352
Portada Winemaker's Selection Branco,18723
1 C,18
Rosso Convento,20775
Story Vineyard,23116
Conner Lee Vineyard Conflict,5600
Bellissima,2171
Trasgaia,24947
Villa Pattono,26096
Motley Cock,16421
Veigas de Padriñán,25652
redFOUR,27496
Jerusalem Hill,12041
Ugolaia,25314
American Oak,965
Récolte Grand Cru,21057
Manene,15228
Viña Famatina,26466
Elephant Mountain Vineyard,8108
Les Gosses Vineyard,14142
Destiny Vineyards Reserve,7042
Violetta,26357
Cartoixa,4020
Viña 24,26439
Blockhouse,2757
Falveys,8940
Quinta de Pancas Grande Escolha,19354
Eiswein 375ml,7991
Sielo Blu,22182
Spanish Sons,22723
Poggio Etrusco,18602
Cuvee 22,6153
Hanson-Hsieh Vineyard,10848
Viura Chardonnay,26421
Picens,18316
Garuma Vineyard,9858
Walla Walla Valley Reserve,26655
Blanca Cusine Gran Reserva Brut Nature,2610
La Fermade,12942
Castell de Raimat,4151
Cuvée Prestige de Campuget,6497
Vino Bianco,26244
Rainy Day Red IV,19524
No 46,16876
Katie Mae White Table Wine,12320
Purbach Sublime,19158
Wavertree,26707
Whippet,26821
Block 6,2721
Jill's Cuvée,12061
Reserve Dulcet,20031
Doctrina Perpetua,7233
Sottocastello di Novello Riserva,22675
Severed Head Red,22074
Winemaker's Release Rosé of,27049
Rodon Maso delle Rose 375ml,20599
Azumbre Viñedos Centenarios,1677
Potts' Catch,18769
Hybrid,11432
47.5,238
Demetria Estate,6990
Cuvée Extra Dry,6326
Brauneberger Juffer-Sonnenuhr Auslese,3056
Hallgartener Jungfer Spätlese,10815
1762,84
New Gewurz,16781
Block 17,2692
Pinot Noir Brut Rosé,18456
Domaine Grand Romane Cuvée Prestige,7302
Angel Camp Vineyard,1091
Potro de Piedra Family Reserve Single Vineyard,18767
Poiano,18644
Toques et Clochers Méditerranéen,24807
Marriage,15408
Double T,7589
Duemilaotto Metodo Classico,7724
Fossetti,9509
Saccente,21184
Coreto Branco,5739
Gran Vinum,10322
Kite's Rest Vineyard,12459
En Barrica,8217
L'Entente,12685
Terre del Pelacane,23868
Raiza Reserva,19526
Laity,13307
Buti Nages,3436
Elyssia Gran Cuvee Brut,8168
Nicholas Estate Reserve,16794
Hochrain Old Vines,11277
C'est Magnifique,3474
Coriol,5743
Ancestor Selections Vineyard,1037
Reserva Heredad Brut,19927
SolAlto,22492
Tinto,24691
Octagon,17224
Rosso delle Miniere,20787
Black Cluster,2499
Rustridge Vineyard,21032
Brigden Vineyard,3142
Master's Red Blend,15500
Coombsville,5684
Le Porusot Premier Cru,13748
Mantele,15246
Chamán Gran Reserva,4462
Balduin von Hövel,1813
La Saignée,13169
Nonpareil Trésor Rosé Brut,16976
Convento do Tomar Reserva,5675
Château Baroncelli,4693
Cannubi Riserva,3809
Vargosa,25610
Cré Vendemmia Tardiva,6081
Milestone Cabernet Franc-Merlot,15882
Domaine Drouhin-Vaudon Vaudésir Grand Cru,7298
Le Poiane,13746
Schneiderberg Eiswein,21675
Fracastoro,9561
Rough Justice Red,20895
Single Vineyard Plot: Sauco,22325
Don Tiburcio,7509
Bullrush Vineyard,3395
Piesporter Goldtröpfchen GG Trocken,18370
Finca Domingo F. Sarmiento Single Vineyard,9146
Bricco delle Viole Riserva,3124
Seven Hills Vineyard Estate Vineyards,22051
Gravura,10563
Villa Fortunato,26082
Paleo,17733
Gap's Crown,9829
Saignée Rosé,21216
New York Premium Selection,16785
Highlands Estates Trace Ridge,11195
Clos du Lune Vineyard,5238
Gwin,10729
Cuvée de Paso,6605
M-Series Edom,15026
Cuvée Charles,6281
Carl Reserve,3938
Bernier-Sibary Vineyard,2250
Preston Vineyards,18921
Seleccion del Directorio Reserva,21795
Spruce Goose,22843
Diamant Rouge,7095
Sobra Red,22468
Morrison Lane Vineyard,16377
Lillie Langtry Estate,14461
Cerida,4383
Block #3 Lawrence Vineyard,2684
Clos du Roi,5249
La Pilar,13098
Ramal Vineyard Swan Selection,19539
Cemetery Vineyard Indigenous,4331
Michel Lynch,15861
Z Cuvee,27281
Roma En Chamberlin,20630
Vintner's Cuvee XXI,26315
Sangiacomo Road Vineyard Blanc de Blancs,21387
Sanleonino,21412
La Demoiselle,12919
Altano,800
Nimbus Estate,16844
Star Tree Cuvée Brulsand Doux Sparkling Wine,22918
Le Clos,13582
Il,11553
Quinta do Encontro Encontro I Branco,19387
John Lewis,12090
Lenné Vineyard,13888
Catena Nicasia Vineyard,4226
Les Chaumes Premier Cru,14029
Sangiacomo Old Lakeville Road Vineyard,21386
Dal Re,6803
Freakout White Wine,9616
Solaz Blanco,22506
Rolleri Cuvee,20622
Vega Medien Brut Rosé,25645
Gold Label Middle Reach,10112
Defiance Vineyard Estate,6942
Cerretalto,4387
Questo,19289
Scurati,21711
Scorched Earth Vineyard,21702
J.D. Hurley Cabiolo,11903
Stephanie,23023
Le Mandorlae Riserva,13669
Ricordati,20214
Liandra,14411
Cinque Terra Vineyard,4923
Dido,7143
Simboli,22270
Ephraim Clarke,8309
Gabarinza,9762
Big Block Red,2371
Viñedo No. 7,26517
Sekt Brut,21787
Kama,12262
Miros de Ribera Crianza,15980
Saitone Vineyard Olivet Bench,21242
I Macchioni,11472
Château Lajarre,4737
KRV Block #13,12220
Aamackhnoc,357
Doyenne,7600
Seigneurs de Bergerac,21782
Camel Hill,3686
Lot 1232,14754
Cigar Old Vine,4897
Bock Cuvée Barrique,2817
Le Mistral Vineyard,13688
Cabernet Franc-Merlot,3541
L'Erpico,12697
Les Pommiers,14268
Sur les Grèves Clos Saint-Anne Premier Cru,23261
E&E; Black Pepper,7838
Essencia Eiswein,8476
The Cab,24051
Noche de Luna,16949
Bin 75,2438
Quinta dos Aciprestes Reserva,19407
G & G,9729
Inchinnan,11732
Les Pins Couchés,14263
Intaglio,11825
Il Granaio,11594
Bald Mountain Ranch,1803
Kracher No. 12,12532
Alden Perry Reserve,626
Hurst Vineyard,11427
Epicenter Old Vines,8314
The Pintail Doctor's Vineyard,24352
10 Anos Tawny,28
Brancott B,3032
Anthilia,1175
Collection Field Blend,5425
Les Genevrières Premier Cru,14138
Vintner's Blend #12,26310
Rupestris,21008
Coéo Three Vineyard,5936
Yá Cuvée 23 Brut Rosé,27276
Rose of,20744
Le Bouchet,13529
Hochheimer Kirchenstück Trocken,11271
Añares Reserva,1682
The Originals,24330
Bonita's Hill Don Miguel Vineyard Unfiltered,2880
Rosé Top,20828
Ottone I,17610
Limited Edition Crianza,14484
Blackbird,2548
Terre de Levant,23857
Marquis de Laguiche Morgeot Premier Cru,15393
Trabener Würzgarten Beerenauslese 375 ml,24896
Cuvée Platinum Extra Dry,6485
Schiefer,21651
Alchemy,621
Eleanor of Aquitaine,8089
Cullen Vineyard,6100
Dark Chocolate,6862
60/40 Reserve Barrel Select,279
Ruby Leigh Red Wine,20976
Grand Cru Blanc de Blancs Chouilly Brut,10360
Spinning Red Lot #3,22795
Colle Imperatrice,5411
Cutthroat Blend,6149
Orsi Vineyard,17565
Kronos Limited Edition,12571
Hyde Vineyard,11434
Lieu-Dit Saint-Joseph,14444
As If Serendipity,1454
Split Rock Vineyard,22818
Saint George-Cabernet Sauvignon,21221
Boon Fly's Hill,2891
Via Cenit VDC,25788
Azagador Viñedos Propios Crianza,1667
Corchaug Estate Ben's Blend,5715
Clos des Ursules Premier Cru,5228
Sundance Vineyard ‘The Deal',23217
Estate Bottled and Grown,8538
Grace Vineyard,10208
Californa Cuvee,3647
Block Selection Reserve,2750
Thea's Selection,24535
In Fine,11717
Molten,16066
RTR Estate Vineyard Dry,19486
Finca Los Lirios de los Andes,9168
OVOC,17143
Deep River,6930
Pinot Gris & Pinot Noir,18452
San Carlos Estate Single Vineyard,21308
Alexis,673
Château Lafleur de Haute-Serre,4736
Pago Negralada,17690
Peacock Patch Reserve,18015
T.H. Terroir Hunter,23450
Seleccion de Bodega Single Vineyard,21794
Eileen Hardy,7986
Bigalow Vineyard,2400
Oldfield Series 2Bench,17363
Chateaux du Lovall,4558
Grand Blanc Brut,10345
Marrugat Brut,15409
Baronnie Madeleine,1907
Shaly Loam,22110
Calcura,3624
Big John,2382
Cuvée Royale,6519
Winemaker's Selection Blend,27061
Stonewell,23101
Dom Ruinart Brut Rosé,7275
Bramante Cosimi,3021
Cuvée Nicolas,6456
Tradition Chardonnay Brut,24909
Afternoon Delight Estate,497
Lagniappe,13281
Testamatta Soffocone di Vincigliata,23967
Blacksmith,2554
Rosacroce,20699
Juan de Valdelana,12161
Staforte,22889
Green Label,10577
Black Label,2511
Bon Vivant Destiny Vineyards,2856
Le Bord'eaux,13527
Charles Wetmore,4520
The Loose Cannon,24258
777,293
Bradford Mountain,3010
L'Atelier,12660
Mineral Dry,15941
Diamond Ridge Series,7123
Reserva Maitén Single Vineyard,19934
Villa Zorilor Prince Matei Gran Riserva,26113
Tertre-Perdigous,23951
Primoroso,18974
Nußberg Alte Reben,17099
Allomi,740
The White Estate Vineyards,24501
Syrah du Soleil Sue's Block,23373
Esprimo,8450
Titien de Margüi,24727
Thorn Road Ranch,24574
Spofford Station Vineyard,22822
Steingarten,22988
Pinot Noir Reserve,18458
Piancarda,18293
Domaine de Longue Toque,7363
7200 Grassini Family Vineyard,290
Garnacha de Fuego Old Vines,9849
Baranoff Vineyard,1855
Artistica,1444
RGF,19470
Vignali,25951
Laguna del Inca,13298
Test Pilot Sabre Jet F-86,23960
Old Camp,17275
Viña Victorio Coletto,26504
XX Anni in Due Secoli,27170
Puntay,19147
Unbridled,25346
Herencia,11067
Katie's Côte,12325
Uriah Estate Grown Red Wine,25442
J Cuvée 20,11893
Yasmin Kosher Red,27231
Endeavor,8256
Boschetti Vineyard,2932
Cameron Vale,3694
Cuvée Especial,6319
Ca' del Solo Estate Vineyard,3525
Grand Champion,10352
Valley Cuvée,25568
Paradise Road Vineyard,17806
Premium Merlot,18860
Lawrence Vineyards Freyja White,13494
Achelo,421
Élite,27530
Stone Ranch,23072
Burnside Road Vineyard,3416
Margus Margi,15317
Fastaia,9005
True Red Lot 27,25143
Clos des Myglands,5219
Clos les Cornirets,5258
Jungherrn,12196
Manapetra,15217
Vineyards of TreMonte,26206
Borghini Baldovinetti (Armaiolo),2915
Monte Cascas Reserva Branco,16171
Dimples,7167
The Estates Evergreen,24144
Weisshaus,26757
Alle Viole,725
Talentus Grand Escolha,23494
Viña Punto Alto,26488
Val De L'Ours,25507
